id,catalog_number,additional_description
773358,S600693-5,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Spools and blocks are chrome-plated to resist corrosion
and abrasion. Rollers speed handling and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773266,20-260043,"<table>
		<tr>
			<td><font></font></td><td><font><b>Oil/Petroleum Fluid Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Medium pressure, oil/petroleum fluids, 100 R1T one wire braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td>
		</tr>
	</table>"
773326,24-260044,"<table>
		<tr>
			<td><font></font></td><td><font><b>High Pressure Grease Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>High pressure, chassis grease, 100 R2T two wire braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td>
		</tr>
	</table>"
773290,S602133-3,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Spools and blocks are chrome-plated to resist corrosion
and abrasion. Rollers speed handling and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773382,260428,"<table>
		<tr>
			<td><font></font></td><td><font><b>4 AM Air Motor</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Rewind motors are used to drive chain and sprocket rewind mechanisms on reels equipped to handle a motor.</font></td>
		</tr>
	</table>"
773362,S600693-1U,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Special UHMW composite rollers help control speed and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773262,601001-20,"<table>
		<tr>
			<td><font></font></td><td><font><b>Low Pressure Air/Water Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Low pressure, air/water, PVC nylon braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td>
		</tr>
	</table>"
773386,LB312123,"<table>
			<tr>
				<td><font></font></td><td><font><b>Heavy Duty Cord Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcrafts heavy duty Series 30000 live power cord reels keep long lengths of expensive electrical cord off the ground and out of harms way. The reels are constructed of heavy gauge steel and are assembled with vibration-proof, self-locking fasteners to ensure assembly integrity. They undergo a five-stage cleaning process and are individually powder-coated for the highest quality, corrosion-resistant paint adhesion. Suitable for indoor, non-weather tight applications only.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Heavy duty collector ring - A robust collector ring assures maximum conductivity current flow.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Constructed of heavy gauge steel and assembled with vibration-proof, self-locking fasteners to ensure assembly integrity.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Suitable for indoor, non-weather tight applications only.</li></span></p><br>
                    </ul>"
773526,TW7400OLP,"<table>
			<tr>
				<td><font></font></td><td><font><b>Spring Retractable Gas Welding Hose Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcrafts Series TW spring retractable gas welding hose reels have an independent dual swivel body manufactured from aluminum and hard coated for wear resistance. This unique design assures positive separation of gases. Double-sealed, special molded O-rings prevent leakage. Swivel body and inlet are both permanently identified with machined grooves on the acetylene side to assure proper installation. *For oxygen / acetylene only*</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Leak prevention - The double sealed, special molded o-rings prevent leakage.  The swivel inlets are both permanently identified with machined grooves on the gas side to assure proper installation.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Independent dual swivel body manufactured from aluminum and hard-coated for wear resistance assures positive separation of gases due to its unique design.</li></span></p><br>
                    </ul>"
773354,S600693-1,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Spools and blocks are chrome-plated to resist corrosion
and abrasion. Rollers speed handling and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773342,S600533-4,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Spools and blocks are chrome-plated to resist corrosion
and abrasion. Rollers speed handling and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773554,5635OLPSW5,"<table>
			<tr>
				<td><font></font></td><td><font><b>Spring Retractable Pre-Rinse Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Engineered for use in highly corrosive environments such as restaurants, institutions, and home and garden applications. Reelcrafts pre-rinse reels include a standard lever-operated spray valve. Available in stainless or powder-coat finish.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Quiet speed latch - The latch cam is designed for reliable quiet operation.</li></span></p><br>
                    </ul>"
773258,39-260043,"<table>
		<tr>
			<td><font></font></td><td><font><b>Oil/Petroleum Fluid Inlet Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Medium pressure, oil/petroleum fluids, 100 R1T one wire braid hose. NOTE: A flexible hose connection must be used between the hose reel inlet and the source of supply to prevent possible misalignment and binding or warranty is void. Swivel fittings are recommended to protect hose during installation.</font></td>
		</tr>
	</table>"
773542,D9400OLBBW,"<table>
			<tr>
				<td><font></font></td><td><font><b>Ultimate Duty Spring Retractable Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Series 9000 mobile base reels offer the greatest amount of stability for high volume air, water, diesel fuel and gasoline. Ideal for portable service trucks, permanent service or plant work areas. A durable baked-on powder coat finish produces a rugged corrosion resistant product suitable for a wide variety of heavy duty applications. This non-corrosive fluid path reel features a stainless steel main shaft and swivel.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Substantial base frame - The full width frame has the greatest amount of mounting area and overall strength of reels within its class.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Reliable and durable - Field proven cast aluminum ratchet and latch pawl provide reliability and durability.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Robust latching mechanism - Latch and ratchet are made of heavy duty cast aluminum with substantial surface area to limit the opportunity for premature wear.</li></span></p><br>
                    </ul>"
773366,S602133-1,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Spools and blocks are chrome-plated to resist corrosion
and abrasion. Rollers speed handling and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773530,STW3450OLP,"<table>
			<tr>
				<td><font></font></td><td><font><b>Spring Retractable Composite Welding Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Series S reels are economical, lighter weight, easy to handle and meet the demands of a medium-duty industrial grade reel for continuous operation. Made of corrosion-proof, tough polypropylene, extensive tests have shown it to be highly resistant to the vast majority of acids, alkalis and UV rays. The design protects the hose and allows easy cleaning of both hose and reel. Wall, ceiling or floor mount.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Leak prevention - The double sealed, special molded o-rings prevent leakage. The swivel inlets are both permanently identified with machined grooves on the gas side to assure proper installation.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Poly case - Made of corrosion-proof, tough polypropylene, extensive tests have shown it to be highly resistant to a vast majority of acids, alkalis and UV rays.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Unique mounting - Bracket system allows mounting in any position with the advantage of the swivel feature.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Independent dual swivel body manufactured from aluminum and hard-coated for wear resistance assures positive separation of gases due to its unique design.</li></span></p><br>
                    </ul>"
773630,G3050Y,"<table>
			<tr>
				<td><font></font></td><td><font><b>Spring Retractable Grounding Reels </b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's static discharge reels are used to ground equipment operating in hazardous atmospheres. When properly clamped to the ground, the static discharge reel dissipates static electrical buildup, reducing the chances of sparking and the potential for explosion. *3/32 in. O.D. steel aircraft cable. DC resistance is approximately one ohm per 50 ft. of steel cable.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Strength - Made from industrial grade carbon steel.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Compact design - Reels require little mounting space for applications where space is a critical requirement.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Corrosion resistance - Steel components are powder coated for superior corrosion resistance. Steel cable available with nylon coating for longer service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Easily adjust spring tension - Loosening two screws allows user to add or remove spring tension.</li></span></p><br>
                    </ul>"
773486,12-260043,"<table>
		<tr>
			<td><font></font></td><td><font><b>Oil/Petroleum Fluid Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Medium pressure, oil/petroleum fluids, 100 R1T one wire braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td>
		</tr>
	</table>"
773658,EA33118M12D,"<table>
			<tr>
				<td><font></font></td><td><font><b>Heavy Duty 12 V DC Motor Driven Hose Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's Series 30000 hose reels are designed for rugged, heavy duty applications requiring long lengths of hose and large storage capacity. All-bolted unitized construction with no welds to fatigue, full flow swivel and heavy gauge steel frame, spool and drum ensure longest service life. Series 30000s vibration-proof, self-locking fasteners are ideal for industrial or field use such as turf care or pest control.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Hose replacement made easy - the goose neck can easily be removed to simplify adding long lengths of hose to the reel.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Motor options - Multiple motor options provide an easy method to rewind long lengths of hose.</li></span></p><br>
                    </ul>"
2208321,1-HS1004-3,"<table>
			<tr>
				<td><font></font></td><td><font><b>Adjustable Hose or Cord Bumper                                                                      </b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Adjustable hose / cord bumpers are solid molded rubber assuring a long life and nonslip grip. Hose / cord bumpers allow the desired length of hose or cord to be permanently stored outside the reel. When ordering for cord reels, advise the part number, reel model, AWG and number of conductors. When ordering for hose reels, advise the part number, reel model and the hose I.D. and O.D.               </font></td>
			</tr>
		</table>"
773622,SCA3850OLP,"<table>
			<tr>
				<td><font></font></td><td><font><b>Spring Retractable Composite Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Series S reels are economical, lighter weight, easy to handle and meet the demands of a medium-duty industrial grade reel for continuous operation. Made of corrosion-proof, tough polypropylene, extensive tests have shown it to be highly resistant to the vast majority of acids, alkalis and UV rays. The design protects the hose and allows easy cleaning of both hose and reel. Wall, ceiling or floor mount.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Poly case - Made of corrosion-proof, tough polypropylene, extensive tests have shown it to be highly resistant to a vast majority of acids, alkalis and UV rays.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Vented case -  The reel is ideal for outdoor applications with and openings that allow water to drain.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>External hose tensioning - Hoses can easily be replaced and re-tensioned without disassembling the reel.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Unique mounting - Bracket system allows mounting in any position with the advantage of the swivel feature.</li></span></p><br>
                    </ul>"
2208165,D9100 OHPBW,"<table>
			<tr>
				<td><font></font></td><td><font><b>Ultimate Duty Spring Retractable Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Series 9000 mobile base reels offer the greatest amount of stability for high volume air, water, diesel fuel and gasoline. Ideal for portable service trucks, permanent service or plant work areas. A durable baked-on powder coat finish produces a rugged corrosion resistant product suitable for a wide variety of heavy duty applications.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Substantial base frame - The full width frame has the greatest amount of mounting area and overall strength of reels within its class.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Robust latching mechanism - Latch and ratchet are made of heavy duty cast aluminum with substantial surface area to limit the opportunity for premature wear.</li></span></p><br>
                    </ul>"
773638,AA33118L4A,"<table>
			<tr>
				<td><font></font></td><td><font><b>Heavy Duty 1-1/2 HP Air Motor Driven Hose Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's Series 30000 hose reels are designed for rugged, heavy duty applications requiring long lengths of hose and large storage capacity. All-bolted unitized construction with no welds to fatigue, full flow swivel and heavy gauge steel frame, spool and drum ensure longest service life. Series 30000s vibration-proof, self-locking fasteners are ideal for industrial or field use such as turf care or pest control.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Hose replacement made easy - the goose neck can easily be removed to simplify adding long lengths of hose to the reel.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Motor options - Multiple motor options provide an easy method to rewind long lengths of hose.</li></span></p><br>
                    </ul>"
773650,EA32118M24D,"<table>
			<tr>
				<td><font></font></td><td><font><b>Heavy Duty 24 V DC Motor Driven Hose Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's Series 30000 hose reels are designed for rugged, heavy duty applications requiring long lengths of hose and large storage capacity. All-bolted unitized construction with no welds to fatigue, full flow swivel and heavy gauge steel frame, spool and drum ensure longest service life. Series 30000s vibration-proof, self-locking fasteners are ideal for industrial or field use such as turf care or pest control.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Hose replacement made easy - the goose neck can easily be removed to simplify adding long lengths of hose to the reel.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Motor options - Multiple motor options provide an easy method to rewind long lengths of hose.</li></span></p><br>
                    </ul>"
2208345,D9300 OLSBW-S,"<table>
			<tr>
				<td><font></font></td><td><font><b>Ultimate Duty Stainless Steel Hose Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcrafts stainless steel hose reels are ideal for food processing, pre-rinse, wash down, chemical transfer and industrial-solvent handling. Also suitable for coastal, offshore and on-board ship in marine applications where the harsh environment of salt water spray requires the use of stainless hose reels. Swivel include Viton O-rings. Note: Standard latch parts are made from aluminum. Series 80000 and D80000 stainless reels have an aluminum fluid path. Stainless latch parts and fluid path are available as a standard option by placing a -S at the end of the part number. Example: OLS-S</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Substantial base frame - The full width frame has the greatest amount of mounting area and overall strength of reels within its class.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Robust latching mechanism - Latch and ratchet are made of heavy duty cast aluminum with substantial surface area to limit the opportunity for premature wear.</li></span></p><br>
                    </ul>"
773409,L4035A1635,"<table>
			<tr>
				<td><font></font></td><td><font><b>Heavy Duty Light Cord Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcraft's series L 4000 and L 5000 power and light cord reels offer many different styles of outlets and lamps. Easy to mount and structurally strong, the power cord and light cord reels have robotically welded heavy gauge steel frame that attaches to most structurally sound surfaces. For indoor, non-weather tight applications only. *UL/CSA approved*</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Heavy duty collector ring - A robust collector ring assures maximum conductivity current flow.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p><br>
                    </ul>"
773562,32-260043,"<table>
		<tr>
			<td><font></font></td><td><font><b>Oil/Petroleum Fluid Inlet Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Medium pressure, oil/petroleum fluids, 100 R1T one wire braid hose. NOTE: A flexible hose connection must be used between the hose reel inlet and the source of supply to prevent possible misalignment and binding or warranty is void. Swivel fittings are recommended to protect hose during installation.</font></td>
		</tr>
	</table>"
773249,601027-5,"<table>
		<tr>
			<td><font></font></td><td><font><b>Air/Water Inlet Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Low pressure, air/water, PVC nylon braid hose. NOTE: A flexible hose connection must be used between the hose reel inlet and the source of supply to prevent possible misalignment and binding or warranty is void. Swivel fittings are recommended to protect hose during installation.</font></td>
		</tr>
	</table>"
773277,S600693-2U,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Special UHMW composite rollers help control speed and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773449,TW84000OLPT,"<table>
			<tr>
				<td><font></font></td><td><font><b>Spring Retractable Gas Welding Hose Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcrafts Series TW spring retractable gas welding hose reels have an independent dual swivel body manufactured from aluminum and hard coated for wear resistance. This unique design assures positive separation of gases. Double-sealed, special molded O-rings prevent leakage. Swivel body and inlet are both permanently identified with machined grooves on the acetylene side to assure proper installation.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Leak prevention - The double sealed, special molded o-rings prevent leakage.  The swivel inlets are both permanently identified with machined grooves on the gas side to assure proper installation.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>T-grade capability - The seals and hoses are T-grade for use with a variety of welding gases including mapp, propane, natural, and fuel gases.</li></span></p><br>
                    </ul>"
773297,S602132-5U,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Special UHMW composite rollers help control speed and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773313,27-260043,"<table>
		<tr>
			<td><font></font></td><td><font><b>Oil/Petroleum Fluid Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Medium pressure, oil/petroleum fluids, 100 R1T one wire braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td>
		</tr>
	</table>"
773321,25-260044,"<table>
		<tr>
			<td><font></font></td><td><font><b>High Pressure Grease Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>High pressure, chassis grease, 100 R2T two wire braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td>
		</tr>
	</table>"
773457,TW5425OLPT,"<table>
			<tr>
				<td><font></font></td><td><font><b>Spring Retractable Gas Welding Hose Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcrafts Series TW spring retractable gas welding hose reels have an independent dual swivel body manufactured from aluminum and hard coated for wear resistance. This unique design assures positive separation of gases. Double-sealed, special molded O-rings prevent leakage. Swivel body and inlet are both permanently identified with machined grooves on the acetylene side to assure proper installation.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Leak prevention - The double sealed, special molded o-rings prevent leakage.  The swivel inlets are both permanently identified with machined grooves on the gas side to assure proper installation.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>T-grade capability - The seals and hoses are T-grade for use with a variety of welding gases including mapp, propane, natural, and fuel gases.</li></span></p><br>
                    </ul>"
773257,22-260043,"<table>
		<tr>
			<td><font></font></td><td><font><b>Oil/Petroleum Fluid Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Medium pressure, oil/petroleum fluids, 100 R1T one wire braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td>
		</tr>
	</table>"
773485,H18006M,"<table>
			<tr>
				<td><font></font></td><td><font><b>Medium Duty Hand Crank Reel</b></font></td>
			</tr><tr>
				<td><font></font></td><td><font>Reelcrafts Series H hose reel is an economical reel designed for medium duty applications
requiring long lengths of hose. It is equally suited for plant or field use such as turf care, pest control, steam cleaning and more. Shipped completely assembled, ready to install.</font></td>
			</tr>
		</table><ul class=""bullets"">
                        <p><span id=""Repeater7_ctl00_lblBtn1""><li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn2""><li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn3""><li>Easy to add tension - The T-handle tensioning device allows proper tension to be applied to the spool to eliminate the free spooling of the reel.</li></span></p>
                        <p><span id=""Repeater7_ctl00_lblBtn4""><li>Convenient adjustment of hand crank handle - the handle can easily be rotated out of the way by loosening the set screw.</li></span></p><br>
                    </ul>"
773337,23-260044,"<table>
		<tr>
			<td><font></font></td><td><font><b>High Pressure Grease Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>High pressure, chassis grease, 100 R2T two wire braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td>
		</tr>
	</table>"
773325,26-260044,"<table>
		<tr>
			<td><font></font></td><td><font><b>High Pressure Grease Hose</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>High pressure, chassis grease, 100 R2T two wire braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td>
		</tr>
	</table>"
773353,S600692-5,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Spools and blocks are chrome-plated to resist corrosion
and abrasion. Rollers speed handling and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773301,S602132-5,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Spools and blocks are chrome-plated to resist corrosion
and abrasion. Rollers speed handling and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
773341,S600533-3,"<table>
		<tr>
			<td><font></font></td><td><font><b>Roller Guide Assembly</b></font></td>
		</tr><tr>
			<td><font></font></td><td><font>Spools and blocks are chrome-plated to resist corrosion
and abrasion. Rollers speed handling and reduce wear on
hose. All painted parts are finished with durable abrasion
resistant baked-on powder coat. Delrin bearing surfaces
give a quiet operation with minimum wear and all features
combine to give trouble-free maximum service life.</font></td>
		</tr>
	</table>"
